date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:39	26797/26797	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-68ad%22	https://demo.themefisher.com/promodise/index.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/index.html	(from )
14:48:40	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2261ebb2f3-19%22	https://demo.themefisher.com/robots.txt		(from )
14:48:41	160346/160346	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f2-2725a%22	https://demo.themefisher.com/promodise/plugins/bootstrap/bootstrap.min.css	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/bootstrap/bootstrap.min.css	(from https://demo.themefisher.com/promodise/index.html)
14:48:41	68243/68243	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f2-10a93%22	https://demo.themefisher.com/promodise/plugins/fontawesome/css/all.css	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/fontawesome/css/all.css	(from https://demo.themefisher.com/promodise/index.html)
14:48:41	112247/112247	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f2-1b677%22	https://demo.themefisher.com/promodise/plugins/icofont/icofont.css	C:/brotherhood/promodise/demo.themefisher.com/promodise/plugins/icofont/icofont.css	(from https://demo.themefisher.com/promodise/index.html)
14:48:42	28513/28513	---MCZ	200	added ('OK')	text/css	etag:W/%2261ebb2f2-6f61%22	https://demo.themefisher.com/promodise/css/style.css	C:/brotherhood/promodise/demo.themefisher.com/promodise/css/style.css	(from https://demo.themefisher.com/promodise/index.html)
14:48:42	1199/1199	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-4af%22	https://demo.themefisher.com/promodise/images/favicon.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/favicon.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:42	1976/1976	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-7b8%22	https://demo.themefisher.com/promodise/images/logo.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/logo.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:43	26764/26764	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-688c%22	https://demo.themefisher.com/promodise/index-2.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/index-2.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:43	26969/26969	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-6959%22	https://demo.themefisher.com/promodise/index-3.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/index-3.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:43	17701/17701	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-4525%22	https://demo.themefisher.com/promodise/about.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/about.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:43	19783/19783	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-4d47%22	https://demo.themefisher.com/promodise/service.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/service.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:44	19423/19423	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-4bdf%22	https://demo.themefisher.com/promodise/pricing.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/pricing.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:44	13715/13715	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-3593%22	https://demo.themefisher.com/promodise/blog.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/blog.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:44	10049/10049	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2f2-2741%22	https://demo.themefisher.com/promodise/contact.html	C:/brotherhood/promodise/demo.themefisher.com/promodise/contact.html	(from https://demo.themefisher.com/promodise/index.html)
14:48:45	3345/3345	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-d11%22	https://demo.themefisher.com/promodise/images/icon/007-digital-marketing-3.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/icon/007-digital-marketing-3.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:46	4051/4051	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-fd3%22	https://demo.themefisher.com/promodise/images/icon/008-digital-marketing-2.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/icon/008-digital-marketing-2.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:46	6577/6577	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-19b1%22	https://demo.themefisher.com/promodise/images/icon/003-task.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/icon/003-task.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:46	344352/344352	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-54120%22	https://demo.themefisher.com/promodise/images/banner/why-choose.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/banner/why-choose.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:46	3100/3100	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-c1c%22	https://demo.themefisher.com/promodise/images/icon/010-digital-marketing.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/icon/010-digital-marketing.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:47	3676/3676	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-e5c%22	https://demo.themefisher.com/promodise/images/icon/006-analytics.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/icon/006-analytics.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:47	6047/6047	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-179f%22	https://demo.themefisher.com/promodise/images/icon/004-hiring.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/icon/004-hiring.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:47	26612/26612	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-67f4%22	https://demo.themefisher.com/promodise/images/author/3b.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/author/3b.jpg	(from https://demo.themefisher.com/promodise/index.html)
14:48:48	28705/28705	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2f2-7021%22	https://demo.themefisher.com/promodise/images/author/5b.jpg	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/author/5b.jpg	(from https://demo.themefisher.com/promodise/index.html)
14:48:48	1344/1344	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-540%22	https://demo.themefisher.com/promodise/images/clients/client01.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/clients/client01.png	(from https://demo.themefisher.com/promodise/index.html)
14:48:48	1718/1718	---M--	200	added ('OK')	image/png	etag:%2261ebb2f2-6b6%22	https://demo.themefisher.com/promodise/images/clients/client06.png	C:/brotherhood/promodise/demo.themefisher.com/promodise/images/clients/client06.png	(from https://demo.themefisher.com/promodise/index.html)
